DBCODE,ENTITY,QUALTRICSID,TIME,GEND,AGE,AGE_RANGE,INCO,EDU,RACE,ORG_DON,ORG_VOL,ENV_ID,INATT_CON,POL_OR,REL,SODES_1,SODES_2,SODES_3,SODES_4,SODES_5,SODES_6,SODES_7,SODES_8,SODES_9,SODES_10,SODES_11,SODES_12,SODES_13,MINC1_A1,MINC2_A2,MINC3_A3,MINC4_Z1,MINC5_Z2,MINC6_B1,MINC7_B2,MINC8_E1,MINC9_E2,MINC10_E3,MINC11_E4,MINC12_E5,MINC13_E6,MINC14_Z3,MINC15_Z4,MINC16_B3,MINC17_B4,MINC18_A4,MINC19_A5,MINC20_A6,MINC21_A7,MINC22_Z5,MINC23_Z6,MINC24_Z7,MINC25_Z8,MINC26_Z9,MINC27_B5,MINC28_B6,MINC29_B7,MINC30_B8,MINC31_E7,MINC32_E8,MINC33_E9,MINC34_E10,MINC35_Z10,MINC36_Z11,MINC37_Z12,MINC38_Z13,MINC39_Z14,MINC40_B9,MINC41_B10,MINC42_B11,MINC43_B12,MINC44_E11,MINC45_E12,MINC46_E13,MINC47_E14,TRT_CAT,TRT_ATT1,TRT_ATT2,TRT_ATT3,MOSA_1,MOSA_2,MOSA_3,HYDON1,HYDON2,HYDON3,MC1_MFI1,MC2_MFI2,MC3_MFB1,MC4_MFB2,MC5_MWH,MC6_MWNH,MC7_EMO,DON,DON2
SS007,1,1,592,1,31,2,3,2,3,2,2,2,1,3,1,2,2,2,2,1,2,1,2,1,1,1,2,2,4,4,7,7,7,4,4,7,2,6,6,3,4,4,5,2,6,6,6,6,6,6,6,6,6,2,2,2,2,1,6,1,5,6,7,6,4,4,2,4,4,2,2,6,1,6,6,6,6,6,6,5,6,5,2,0,0,5,5,5,6,5,5,4,1.29,1
SS007,1,2,794,2,71,6,3,3,3,2,2,1,1,4,2,2,2,1,2,2,2,1,2,2,2,2,2,1,5,4,7,5,5,5,3,4,5,4,4,5,4,1,1,1,5,7,7,7,7,4,5,4,4,1,1,1,1,1,6,1,7,5,5,5,5,5,5,5,5,5,5,5,5,6,6,3,7,7,7,7,6,6,2,0,0,6,6,5,7,6,7,5,5,1
SS007,1,3,2023,2,72,6,2,6,3,3,2,1,1,5,2,1,1,1,2,2,1,1,2,2,2,1,1,2,7,4,7,6,7,4,6,7,1,7,7,1,7,2,1,1,4,6,7,7,7,7,7,7,6,1,4,6,3,1,7,1,7,7,6,7,7,6,2,4,6,4,1,7,1,7,7,4,6,6,4,6,5,5,2,0,0,6,5,4,6,5,7,5,0.04,1
SS007,1,4,1280,1,56,5,99,7,2,2,2,1,1,5,1,1,2,1,2,1,2,1,2,1,1,2,1,1,5,5,7,6,6,2,6,6,2,6,6,2,6,3,6,3,6,6,6,6,6,6,6,6,6,2,6,6,2,4,6,2,6,6,5,5,5,5,3,5,5,3,3,5,3,5,5,5,6,6,6,6,6,6,2,0,0,6,4,3,6,6,6,5,5,1
SS007,1,5,629,1,28,2,5,7,3,1,1,1,1,2,3,2,1,1,1,1,2,2,2,1,1,1,1,1,4,5,5,5,6,6,5,6,3,6,6,2,6,3,5,4,6,5,5,5,5,4,3,4,4,3,4,3,5,6,5,3,4,6,3,4,3,2,2,3,2,2,3,2,3,3,4,7,6,7,5,5,5,6,1,50,1,5,5,3,4,6,6,3,0,0
SS007,1,6,1317,1,52,4,8,6,3,1,2,1,1,7,2,2,2,1,2,1,2,1,1,1,2,1,2,2,7,7,7,7,7,1,7,7,1,6,6,1,6,5,7,4,7,4,7,7,7,7,7,7,7,5,5,6,6,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,1,25,1,7,7,7,7,7,7,7,5,1
SS007,1,7,894,1,57,5,4,3,1,2,2,1,1,2,3,1,2,1,1,2,1,2,2,1,2,1,2,2,7,5,7,3,2,5,1,3,3,2,6,3,3,1,1,1,7,7,7,7,7,4,5,4,3,1,5,5,1,1,4,1,4,6,7,5,5,2,1,4,4,1,1,1,1,4,4,6,7,5,3,5,6,5,2,0,0,6,7,6,5,5,5,3,0,0
SS007,1,8,726,1,57,5,4,3,3,2,2,1,1,4,3,2,2,2,2,1,2,1,2,1,2,2,2,2,7,4,7,7,7,1,7,7,1,7,7,1,7,4,4,4,7,7,7,7,7,7,7,7,7,4,7,7,4,4,7,4,7,7,7,7,7,7,6,6,6,4,4,7,4,7,7,3,7,7,7,7,6,6,2,0,0,7,4,7,7,4,7,6,0,0
SS007,1,9,938,1,27,2,3,6,3,2,1,3,1,2,2,2,1,1,2,1,1,1,2,1,2,2,1,2,6,7,7,7,7,4,4,7,1,7,6,1,7,6,4,1,7,7,7,7,7,7,7,7,7,1,7,7,1,1,7,1,7,7,7,7,4,7,1,4,7,1,1,7,1,7,7,4,7,7,1,4,4,7,2,1,1,7,4,1,7,4,7,1,2.52,1
SS007,1,10,1717,1,55,5,1,2,3,2,2,1,1,4,3,2,2,2,2,1,2,1,2,1,1,2,2,1,4,6,7,7,7,3,1,5,2,7,7,1,6,4,4,4,6,6,7,7,7,7,7,6,7,4,4,6,4,4,7,4,7,7,7,7,7,7,4,6,7,4,4,7,4,7,7,7,7,7,7,7,7,7,1,50,1,7,7,7,7,7,4,4,3.01,1
SS007,1,11,940,2,50,4,6,6,2,1,2,3,1,7,2,1,1,2,1,2,1,1,1,2,2,1,2,1,6,3,7,7,7,1,4,6,1,7,7,1,7,5,2,1,3,6,7,6,6,6,7,4,6,1,6,6,1,1,7,1,7,6,7,7,5,6,1,7,7,1,1,7,1,7,7,5,7,7,6,5,5,3,2,0,0,6,4,5,7,7,7,5,5,1
SS007,1,12,644,2,64,5,7,6,3,2,2,1,1,7,2,1,1,1,1,2,1,2,1,2,2,1,1,2,6,7,7,7,7,4,4,7,1,7,7,1,7,5,7,3,7,7,7,7,7,7,7,7,7,3,6,7,3,3,7,4,7,7,7,7,7,7,4,6,6,6,5,7,5,7,7,5,7,7,7,7,7,7,1,25,1,7,7,6,7,7,7,7,5,1
SS007,1,13,1327,1,72,6,99,2,1,2,2,1,1,6,3,2,2,2,2,1,2,1,2,1,2,2,1,2,7,6,7,7,7,2,2,7,1,6,6,2,6,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,6,7,7,7,7,7,7,6,7,7,5,5,7,5,7,7,1,7,7,7,7,7,7,2,0,0,5,7,7,7,7,7,7,0,0
SS007,1,14,934,2,75,7,5,7,2,2,2,1,1,5,2,1,1,2,2,1,2,1,1,1,1,2,2,1,5,6,6,5,6,4,5,6,2,6,7,2,6,4,3,1,2,6,5,7,4,6,4,6,3,3,4,3,1,1,6,1,4,3,7,4,6,4,2,5,5,2,1,6,1,4,4,6,6,5,6,6,5,5,1,5,1,7,6,5,7,5,5,5,4.94,1
SS007,1,15,767,2,47,4,7,6,3,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,5,7,7,3,2,7,1,5,5,1,5,5,2,1,1,1,1,7,7,7,7,7,7,4,4,1,1,1,1,1,5,1,5,5,7,7,4,5,1,1,1,1,1,5,1,5,5,7,4,5,4,3,4,4,2,0,0,4,4,5,5,3,3,4,0,0
SS007,1,16,273,2,41,3,5,7,3,2,2,2,2,8,2,2,2,2,2,1,2,1,2,1,2,2,2,1,5,3,6,3,4,7,1,3,3,3,4,3,3,3,1,4,4,3,3,4,4,4,2,2,4,4,3,4,3,3,4,5,5,4,4,5,5,4,1,1,3,1,1,7,1,4,4,7,4,3,6,3,4,4,2,0,0,4,3,4,5,6,4,4,0,0
SS007,1,17,756,1,40,3,3,6,1,2,2,2,2,7,2,2,2,2,1,1,2,2,2,1,2,2,2,2,6,2,6,6,5,2,7,6,1,6,6,1,6,5,4,7,7,7,7,6,5,6,5,5,6,5,6,5,6,6,3,3,6,6,5,5,6,6,6,6,5,6,5,3,4,6,6,1,7,7,6,6,6,6,1,500,1,6,5,6,7,6,6,7,2,1
